time,zone,entry,exit,total_people
2026-03-09 21:13:30.529379,Zone2,1,1,2
2026-03-09 21:13:30.530378,Zone3,1,1,2
2026-03-09 21:13:30.612344,Zone1,1,1,2
2026-03-09 21:13:30.612344,Zone2,1,1,2
2026-03-09 21:13:30.613355,Zone3,1,1,2
2026-03-09 21:13:30.686008,Zone1,1,1,2
2026-03-09 21:13:30.687021,Zone2,1,1,2
2026-03-09 21:13:30.687021,Zone3,1,1,2
2026-03-09 21:13:30.764004,Zone1,1,1,2
2026-03-09 21:13:30.765004,Zone2,1,1,2
2026-03-09 21:13:30.765004,Zone3,1,1,2
2026-03-09 21:13:30.845459,Zone1,1,1,2
2026-03-09 21:13:30.845459,Zone2,1,1,2
2026-03-09 21:13:30.846814,Zone3,1,1,2
2026-03-09 21:13:30.932016,Zone1,1,1,2
2026-03-09 21:13:30.932016,Zone2,1,1,2
2026-03-09 21:13:30.932016,Zone3,1,1,2
2026-03-09 21:13:31.008006,Zone1,1,1,2
2026-03-09 21:13:31.009007,Zone2,1,1,2
2026-03-09 21:13:31.009007,Zone3,1,1,2
2026-03-09 21:13:31.083961,Zone1,1,1,2
2026-03-09 21:13:31.084960,Zone2,1,1,2
2026-03-09 21:13:31.084960,Zone3,1,1,2
2026-03-09 21:13:31.167200,Zone1,1,1,2
2026-03-09 21:13:31.167200,Zone2,1,1,2
2026-03-09 21:13:31.168200,Zone3,1,1,2
2026-03-09 21:13:31.258370,Zone1,1,1,2
2026-03-09 21:13:31.259603,Zone2,1,1,2
2026-03-09 21:13:31.259603,Zone3,1,1,2
2026-03-09 21:13:31.341184,Zone1,1,1,2
2026-03-09 21:13:31.341184,Zone2,1,1,2
2026-03-09 21:13:31.342431,Zone3,1,1,2
2026-03-09 21:13:31.416660,Zone1,1,1,2
2026-03-09 21:13:31.417659,Zone2,1,1,2
2026-03-09 21:13:31.417659,Zone3,1,1,2
2026-03-09 21:13:31.492982,Zone1,1,1,2
2026-03-09 21:13:31.492982,Zone2,1,1,2
2026-03-09 21:13:31.492982,Zone3,1,1,2
2026-03-09 21:13:31.566156,Zone1,1,1,2
2026-03-09 21:13:31.566156,Zone2,1,1,2
2026-03-09 21:13:31.567155,Zone3,1,1,2
2026-03-09 21:13:31.648856,Zone1,1,1,2
2026-03-09 21:13:31.648856,Zone2,1,1,2
2026-03-09 21:13:31.649857,Zone3,1,1,2
2026-03-09 21:13:31.730675,Zone1,1,1,2
2026-03-09 21:13:31.731675,Zone2,1,1,2
2026-03-09 21:13:31.731675,Zone3,1,1,2
2026-03-09 21:13:31.808302,Zone1,1,1,2
2026-03-09 21:13:31.809306,Zone2,1,1,2
2026-03-09 21:13:31.810303,Zone3,1,1,2
2026-03-09 21:13:31.888569,Zone1,1,1,2
2026-03-09 21:13:31.888569,Zone2,1,1,2
2026-03-09 21:13:31.889575,Zone3,1,1,2
2026-03-09 21:13:31.967784,Zone1,1,1,2
2026-03-09 21:13:31.967784,Zone2,1,1,2
2026-03-09 21:13:31.969271,Zone3,1,1,2
2026-03-09 21:13:32.047345,Zone1,1,1,2
2026-03-09 21:13:32.047345,Zone2,1,1,2
2026-03-09 21:13:32.048336,Zone3,1,1,2
2026-03-09 21:13:32.121374,Zone1,1,1,2
2026-03-09 21:13:32.121374,Zone2,1,1,2
2026-03-09 21:13:32.122778,Zone3,1,1,2
2026-03-09 21:13:32.199995,Zone1,1,1,2
2026-03-09 21:13:32.201396,Zone2,1,1,2
2026-03-09 21:13:32.201902,Zone3,1,1,2
2026-03-09 21:13:32.276212,Zone1,1,1,2
2026-03-09 21:13:32.276212,Zone2,1,1,2
2026-03-09 21:13:32.277204,Zone3,1,1,2
2026-03-09 21:13:32.354418,Zone1,1,1,2
2026-03-09 21:13:32.355419,Zone2,1,1,2
2026-03-09 21:13:32.355419,Zone3,1,1,2
2026-03-09 21:13:32.447252,Zone1,1,1,2
2026-03-09 21:13:32.447252,Zone2,1,1,2
2026-03-09 21:13:32.448251,Zone3,1,1,2
2026-03-09 21:13:32.564514,Zone1,1,1,2
2026-03-09 21:13:32.565276,Zone2,1,1,2
2026-03-09 21:13:32.565276,Zone3,1,1,2
2026-03-09 21:13:32.675873,Zone1,1,1,2
2026-03-09 21:13:32.676874,Zone2,1,1,2
2026-03-09 21:13:32.676874,Zone3,1,1,2
2026-03-09 21:13:32.781145,Zone1,1,1,2
2026-03-09 21:13:32.781145,Zone2,1,1,2
2026-03-09 21:13:32.782154,Zone3,1,1,2
2026-03-09 21:13:32.896173,Zone1,1,1,2
2026-03-09 21:13:32.896173,Zone2,1,1,2
2026-03-09 21:13:32.897171,Zone3,1,1,2
2026-03-09 21:13:33.014227,Zone1,1,1,2
2026-03-09 21:13:33.014227,Zone2,1,1,2
2026-03-09 21:13:33.015569,Zone3,1,1,2
2026-03-09 21:13:33.127560,Zone1,1,1,2
2026-03-09 21:13:33.128562,Zone2,1,1,2
2026-03-09 21:13:33.128562,Zone3,1,1,2
2026-03-09 21:13:33.241737,Zone1,1,1,2
2026-03-09 21:13:33.242243,Zone2,1,1,2
2026-03-09 21:13:33.242243,Zone3,1,1,2
2026-03-09 21:13:33.350227,Zone1,1,1,2
2026-03-09 21:13:33.350227,Zone2,1,1,2
2026-03-09 21:13:33.351238,Zone3,1,1,2
2026-03-09 21:13:33.461900,Zone1,1,1,2
2026-03-09 21:13:33.462900,Zone2,1,1,2
2026-03-09 21:13:33.462900,Zone3,1,1,2
2026-03-09 21:13:33.579338,Zone1,1,1,2
2026-03-09 21:13:33.579338,Zone2,1,1,2
2026-03-09 21:13:33.580749,Zone3,1,1,2
2026-03-09 21:13:33.696968,Zone1,1,1,2
2026-03-09 21:13:33.696968,Zone2,1,1,2
2026-03-09 21:13:33.698306,Zone3,1,1,2
2026-03-09 21:13:33.817806,Zone1,1,1,2
2026-03-09 21:13:33.818312,Zone2,1,1,2
2026-03-09 21:13:33.818312,Zone3,1,1,2
